Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR14514292,2021-05-14 22:29:36,2021-05-14 21:57:57,26619701,5323940200,26619701,200,1662,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14514/SRR14514292/SRR14514292.lite.1,SRX10859806,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319543,PRJNA729525,3,729525,SRS8955282,SAMN19129758,simple,9606,Homo sapiens,GSM5293008,,,,,,,no,,,,,GEO,SRA1231583,,public,7BE48F7F1704FE05F7A4F79A9E4DDA6E,B78E78278CA6D0FC1D89E75BFB966EC7
SRR14514293,2021-05-14 22:07:16,2021-05-14 22:03:41,36544911,7308982200,36544911,200,2281,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14514/SRR14514293/SRR14514293.lite.1,SRX10859807,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319543,PRJNA729525,3,729525,SRS8955283,SAMN19129757,simple,9606,Homo sapiens,GSM5293009,,,,,,,no,,,,,GEO,SRA1231583,,public,4933F125EC659898AEA1A4110444E8D4,80D5844EB467C21CF4CB6E1B00676715
SRR14514294,2021-05-14 22:29:36,2021-05-14 22:02:40,33203541,6640708200,33203541,200,2070,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14514/SRR14514294/SRR14514294.lite.1,SRX10859808,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319543,PRJNA729525,3,729525,SRS8955284,SAMN19129756,simple,9606,Homo sapiens,GSM5293010,,,,,,,no,,,,,GEO,SRA1231583,,public,564E162C56446B9A034CA76D8B2CA44E,03F6F95F91D6DD42BC00FA3C35A2F770
SRR14514295,2021-05-14 22:29:36,2021-05-14 22:03:18,35214596,7042919200,35214596,200,2227,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14514/SRR14514295/SRR14514295.lite.1,SRX10859809,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319543,PRJNA729525,3,729525,SRS8955285,SAMN19129755,simple,9606,Homo sapiens,GSM5293011,,,,,,,no,,,,,GEO,SRA1231583,,public,5A4A017CAB1C57CF89263CF9349FB018,567A677ED227461858ADCCFB5E6C96BD
SRR14514296,2021-05-14 22:29:36,2021-05-14 22:00:56,26057161,5211432200,26057161,200,1618,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14514/SRR14514296/SRR14514296.lite.1,SRX10859810,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319543,PRJNA729525,3,729525,SRS8955286,SAMN19129754,simple,9606,Homo sapiens,GSM5293012,,,,,,,no,,,,,GEO,SRA1231583,,public,156348B7D674E670226BEFEBBB37A0E5,C84C6F2546DC3D4E157F35278881FFAA
SRR14514297,2021-05-14 22:29:36,2021-05-14 21:59:53,23809250,4761850000,23809250,200,1499,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14514/SRR14514297/SRR14514297.lite.1,SRX10859811,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319543,PRJNA729525,3,729525,SRS8955287,SAMN19129753,simple,9606,Homo sapiens,GSM5293013,,,,,,,no,,,,,GEO,SRA1231583,,public,50B9FFE46E379494F5FAF00A49D628CC,07EEBE716E827B2490248777D58D0155
SRR14514298,2021-05-14 22:29:36,2021-05-14 22:06:27,34006156,6801231200,34006156,200,2140,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14514/SRR14514298/SRR14514298.lite.1,SRX10859812,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319543,PRJNA729525,3,729525,SRS8955288,SAMN19129752,simple,9606,Homo sapiens,GSM5293014,,,,,,,no,,,,,GEO,SRA1231583,,public,05C6876E836B24C4C066C4E4547C399A,298271418D592C7CC43F427C5E9F3377
SRR14514299,2021-05-14 22:29:36,2021-05-14 22:01:05,25981838,5196367600,25981838,200,1630,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14514/SRR14514299/SRR14514299.lite.1,SRX10859813,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319543,PRJNA729525,3,729525,SRS8955289,SAMN19129751,simple,9606,Homo sapiens,GSM5293015,,,,,,,no,,,,,GEO,SRA1231583,,public,5C33F2F9BD4FAA309B1E2986D46B4A56,2AB79459F4A9E0E299EA6B364C430622
SRR14514300,2021-05-14 22:51:57,2021-05-14 21:58:03,19692026,3938405200,19692026,200,1242,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14514/SRR14514300/SRR14514300.lite.1,SRX10859814,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319543,PRJNA729525,3,729525,SRS8955291,SAMN19129750,simple,9606,Homo sapiens,GSM5293016,,,,,,,no,,,,,GEO,SRA1231583,,public,37D22C64E98582B8E82177FC261112EF,6CEC0582BC7E692AEFB96080B91448F9
SRR14514301,2021-05-14 22:29:36,2021-05-14 22:04:15,30221373,6044274600,30221373,200,1910,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14514/SRR14514301/SRR14514301.lite.1,SRX10859815,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319543,PRJNA729525,3,729525,SRS8955290,SAMN19129747,simple,9606,Homo sapiens,GSM5293017,,,,,,,no,,,,,GEO,SRA1231583,,public,487006A9785EC705D03AC6617531C33D,1C500855D812F7BC5064D7C220FD3795
SRR14514302,2021-05-14 22:29:36,2021-05-14 22:00:14,25603082,5120616400,25603082,200,1608,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14514/SRR14514302/SRR14514302.lite.1,SRX10859816,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319543,PRJNA729525,3,729525,SRS8955292,SAMN19129746,simple,9606,Homo sapiens,GSM5293018,,,,,,,no,,,,,GEO,SRA1231583,,public,49C3EC2B400B82F1EC37334AC7DA2CBF,71F5A806F388B6C86DCA0E57F6FCE95B
SRR14514303,2021-05-14 22:29:36,2021-05-14 22:00:11,24509368,4901873600,24509368,200,1546,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14514/SRR14514303/SRR14514303.lite.1,SRX10859817,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319543,PRJNA729525,3,729525,SRS8955293,SAMN19129805,simple,9606,Homo sapiens,GSM5293019,,,,,,,no,,,,,GEO,SRA1231583,,public,B54257B906995532CD966CDA51F88E34,C65D5349613484FEF66C2BD1688AFBCD
SRR14514304,2021-05-14 22:29:36,2021-05-14 21:59:28,26225878,5245175600,26225878,200,1637,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14514/SRR14514304/SRR14514304.lite.1,SRX10859818,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319543,PRJNA729525,3,729525,SRS8955294,SAMN19129804,simple,9606,Homo sapiens,GSM5293020,,,,,,,no,,,,,GEO,SRA1231583,,public,CBB5171433B36A560C710332FD2C02B4,62B63CAC138DEA0503555450FF74C998
SRR14514305,2021-05-14 22:29:36,2021-05-14 22:05:24,41811127,8362225400,41811127,200,2598,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14514/SRR14514305/SRR14514305.lite.1,SRX10859819,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319543,PRJNA729525,3,729525,SRS8955295,SAMN19129803,simple,9606,Homo sapiens,GSM5293021,,,,,,,no,,,,,GEO,SRA1231583,,public,34FFA6514C279ADBFFD0E64FB5F16318,6B7CD416D0A3A0CA86ADB47B465C95FC
SRR14514306,2021-05-14 22:29:36,2021-05-14 22:01:24,27551512,5510302400,27551512,200,1741,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14514/SRR14514306/SRR14514306.lite.1,SRX10859820,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319543,PRJNA729525,3,729525,SRS8955296,SAMN19129802,simple,9606,Homo sapiens,GSM5293022,,,,,,,no,,,,,GEO,SRA1231583,,public,F6E6601C0874BF42F3D9C956DB963DD7,73082430F2A3E02703631C8C62503F53
SRR14514307,2021-05-14 22:29:36,2021-05-14 22:06:03,40867293,8173458600,40867293,200,2572,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14514/SRR14514307/SRR14514307.lite.1,SRX10859821,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319543,PRJNA729525,3,729525,SRS8955298,SAMN19129801,simple,9606,Homo sapiens,GSM5293023,,,,,,,no,,,,,GEO,SRA1231583,,public,C8B4E97C6F36FD5E710F8C10B1AC9274,90E3E6F0155F0E021B23FFCC48639C45
SRR14514308,2021-05-14 22:29:36,2021-05-14 21:59:35,12634523,2526904600,12634523,200,791,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14514/SRR14514308/SRR14514308.lite.1,SRX10859822,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319543,PRJNA729525,3,729525,SRS8955297,SAMN19129749,simple,9606,Homo sapiens,GSM5293024,,,,,,,no,,,,,GEO,SRA1231583,,public,69CD94A29EA4589698866CC1DD4438A6,0738355F8681AE2CFF4724147A1C2E18
SRR14514309,2021-05-14 22:29:36,2021-05-14 22:02:54,21605674,4321134800,21605674,200,1376,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14514/SRR14514309/SRR14514309.lite.1,SRX10859823,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319543,PRJNA729525,3,729525,SRS8955299,SAMN19129748,simple,9606,Homo sapiens,GSM5293025,,,,,,,no,,,,,GEO,SRA1231583,,public,45CE3C25A8BB6C68BD1CC7F2103BFB53,D1EA71ADA59D4794B466F373F17FAD45
SRR14514310,2021-05-14 22:29:36,2021-05-14 22:02:17,28839446,5767889200,28839446,200,1816,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14514/SRR14514310/SRR14514310.lite.1,SRX10859824,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319543,PRJNA729525,3,729525,SRS8955300,SAMN19129800,simple,9606,Homo sapiens,GSM5293026,,,,,,,no,,,,,GEO,SRA1231583,,public,CFDE48D5728EBB3B50975995E71A5D0B,F9D30644F6889B1A1D5F1D5F96637E54
SRR14514311,2021-05-14 22:29:36,2021-05-14 22:02:46,23329347,4665869400,23329347,200,1461,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14514/SRR14514311/SRR14514311.lite.1,SRX10859825,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319543,PRJNA729525,3,729525,SRS8955301,SAMN19129799,simple,9606,Homo sapiens,GSM5293027,,,,,,,no,,,,,GEO,SRA1231583,,public,46F022CC33E5586C131FE1C30F10E132,D1E5148D2D6183D38A03A3252BAB3D20
SRR14514312,2021-05-14 22:29:36,2021-05-14 22:03:38,26566164,5313232800,26566164,200,1649,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14514/SRR14514312/SRR14514312.lite.1,SRX10859826,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319543,PRJNA729525,3,729525,SRS8955302,SAMN19129798,simple,9606,Homo sapiens,GSM5293028,,,,,,,no,,,,,GEO,SRA1231583,,public,398D19C26FCCC1A5769AB934E5689989,845B69E9BD54EF598496AA6368E5FE28
SRR14514313,2021-05-14 22:29:36,2021-05-14 22:04:19,26180532,5236106400,26180532,200,1632,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR014/14514/SRR14514313/SRR14514313.lite.1,SRX10859827,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP319543,PRJNA729525,3,729525,SRS8955303,SAMN19129797,simple,9606,Homo sapiens,GSM5293029,,,,,,,no,,,,,GEO,SRA1231583,,public,147EBBAB759811BEB204FA5DEC8B3F93,8C090599AA18EF33DBD2F907104B8B68
